,precio,origen_ida,destino_ida,min_duracion_ida,escalas_ida,hora_salida_ida,hora_llegada_ida,aerolinea_ida,origen_vuelta,destino_vuelta,min_duracion_vuelta,escalas_vuelta,hora_salida_vuelta,hora_llegada_vuelta,aerolinea_vuelta
86,469.88,Madrid,Paris Charles de Gaulle,140,0,06:00,08:20,Air France,Paris Charles de Gaulle,Madrid,305,1,07:10,12:15,KLM
87,789.62,Madrid,Paris Charles de Gaulle,135,0,14:45,17:00,easyJet,Paris Charles de Gaulle,Madrid,130,0,20:55,23:05,Scandinavian Airlines
88,398.88,Madrid,Paris Charles de Gaulle,135,0,14:45,17:00,easyJet,Paris Charles de Gaulle,Madrid,390,1,06:30,13:00,Lufthansa
89,481.88,Madrid,Paris Charles de Gaulle,305,1,08:25,13:30,Lufthansa,Paris Charles de Gaulle,Madrid,130,0,07:00,09:10,Iberia
90,497.41,Madrid,Paris Charles de Gaulle,295,1,18:00,22:55,British Airways,Paris Charles de Gaulle,Madrid,135,0,17:35,19:50,easyJet
91,448.0,Madrid,Paris Charles de Gaulle,130,0,15:45,17:55,Iberia,Paris Charles de Gaulle,Madrid,350,1,12:15,18:05,Royal Air Maroc
92,451.0,Madrid,Paris Charles de Gaulle,130,0,15:45,17:55,Vueling Airlines,Paris Charles de Gaulle,Madrid,350,1,12:15,18:05,Royal Air Maroc
93,503.86,Madrid,Paris Charles de Gaulle,295,1,15:50,20:45,British Airways,Paris Charles de Gaulle,Madrid,135,0,17:35,19:50,easyJet
94,365.0,Madrid,Paris Charles de Gaulle,130,0,21:40,23:50,Iberia,Paris Charles de Gaulle,Madrid,465,1,10:10,17:55,Bulgaria Air
95,477.88,Madrid,Paris Charles de Gaulle,130,0,15:45,17:55,Iberia,Paris Charles de Gaulle,Madrid,325,1,11:45,17:10,ITA Airways
96,841.01,Madrid,Paris Charles de Gaulle,130,0,16:20,18:30,Scandinavian Airlines,Paris Charles de Gaulle,Madrid,130,0,20:55,23:05,Scandinavian Airlines
97,840.0,Madrid,Paris Charles de Gaulle,130,0,10:00,12:10,Scandinavian Airlines,Paris Charles de Gaulle,Madrid,130,0,18:45,20:55,Iberia
98,841.01,Madrid,Paris Charles de Gaulle,130,0,16:20,18:30,Scandinavian Airlines,Paris Charles de Gaulle,Madrid,130,0,17:05,19:15,Scandinavian Airlines
99,800.54,Madrid,Paris Charles de Gaulle,140,0,06:00,08:20,Scandinavian Airlines,Paris Charles de Gaulle,Madrid,135,0,17:35,19:50,easyJet
